"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Period",1,64,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA,NA,NA
"Revenue",2,64,32360452.2594258,11641498.5386312,32090875.09585,31930657.7506909,13689382.4668778,14021479.611678,58756473.6608,44734994.049122,0.260590546487665,-0.806060817507423,1455187.3173289,22426546.786496,39929985.08905
"DailyRev",3,64,817510.82723125,10760587.8163592,-140185.849645999,649071.861364712,9781559.57862746,-21454717.114,22519754.7428,43974471.8568,0.178489581781362,-0.636755121546556,1345073.4770449,-6336657.900212,7808914.46235975
"Rev_ma",4,58,577988.797108074,1738434.19724502,276155.3112045,498919.509411854,1776770.73584867,-2971266.52097143,4629716.20993286,7600982.73090429,0.391767254457545,-0.210487403550841,228267.593201598,-515354.995248214,1705605.08528725
